"Name","Live Bytes","Live Objects"
"sun.nio.ch.SocketOptionRegistry$RegistryKey","408 B (0%)","17 (0%)"
"org.springframework.context.event.SimpleApplicationEventMulticaster","400 B (0%)","10 (0%)"
"sun.util.locale.provider.LocaleResources$ResourceReference","400 B (0%)","10 (0%)"
"org.springframework.core.io.support.ResourceArrayPropertyEditor","400 B (0%)","10 (0%)"
"org.redisson.config.MasterSlaveServersConfig","400 B (0%)","2 (0%)"
"jdk.proxy2.$Proxy30","400 B (0%)","25 (0%)"
"jdk.jfr.internal.instrument.$Proxy229","400 B (0%)","25 (0%)"
"io.netty.channel.$Proxy138","400 B (0%)","25 (0%)"
"org.springframework.expression.spel.ast.PropertyOrFieldReference","392 B (0%)","7 (0%)"
"com.fasterxml.jackson.core.util.DefaultPrettyPrinter","392 B (0%)","7 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap","384 B (0%)","8 (0%)"
"feign.Request$Options","384 B (0%)","8 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLL","384 B (0%)","6 (0%)"
"io.github.rohitect.kraven.springboot.feign.FeignClientMetadata","384 B (0%)","8 (0%)"
"org.checkerframework.framework.qual.TypeUseLocation","384 B (0%)","16 (0%)"
"java.time.LocalDate","384 B (0%)","16 (0%)"
"org.springframework.core.ResolvableType$TypeVariablesVariableResolver","384 B (0%)","16 (0%)"
"org.aspectj.apache.bcel.util.ClassLoaderRepository$SoftHashMap$SpecialValue","384 B (0%)","8 (0%)"
"java.util.ResourceBundle$KeyElementReference","384 B (0%)","12 (0%)"
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl","384 B (0%)","12 (0%)"
"feign.form.multipart.SingleParameterWriter","384 B (0%)","24 (0%)"
"org.hibernate.validator.internal.metadata.aggregated.ContainerCascadingMetaData","384 B (0%)","8 (0%)"
"org.springframework.beans.AbstractNestablePropertyAccessor$PropertyTokenHolder","384 B (0%)","16 (0%)"
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo","384 B (0%)","8 (0%)"
"com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature","384 B (0%)","12 (0%)"
"jdk.jfr.internal.periodic.JDKEventTask","384 B (0%)","8 (0%)"
"org.jboss.threads.EnhancedQueueExecutor","384 B (0%)","1 (0%)"
"java.net.InterfaceAddress","384 B (0%)","16 (0%)"
"jdk.proxy2.$Proxy52","384 B (0%)","24 (0%)"
"jdk.xml.internal.JdkProperty$ImplPropMap","384 B (0%)","8 (0%)"
"java.util.stream.ReduceOps$10","384 B (0%)","12 (0%)"
"org.springframework.http.converter.ResourceHttpMessageConverter","384 B (0%)","12 (0%)"
"org.springframework.kafka.retrytopic.DestinationTopicPropertiesFactory","384 B (0%)","6 (0%)"
"jdk.proxy1.$Proxy25","384 B (0%)","24 (0%)"
"java.util.LinkedHashMap$LinkedValueIterator","384 B (0%)","12 (0%)"
"java.security.cert.PolicyQualifierInfo","384 B (0%)","12 (0%)"
"java.util.regex.Pattern$StartS","384 B (0%)","16 (0%)"
"redis.clients.jedis.CommandArguments","384 B (0%)","12 (0%)"
"java.lang.NamedPackage","384 B (0%)","16 (0%)"
"java.util.stream.ReduceOps$8ReducingSink","384 B (0%)","12 (0%)"
"org.springframework.core.ResolvableType$SyntheticParameterizedType","384 B (0%)","16 (0%)"
"kotlin.annotation.AnnotationTarget[]","376 B (0%)","10 (0%)"
"org.checkerframework.framework.qual.LiteralKind[]","368 B (0%)","12 (0%)"
"io.swagger.v3.oas.annotations.media.Content[]","368 B (0%)","16 (0%)"
"org.redisson.client.protocol.decoder.ObjectDecoder","368 B (0%)","23 (0%)"
"sun.security.x509.PolicyInformation","360 B (0%)","15 (0%)"
"kotlin.annotation.AnnotationTarget","360 B (0%)","15 (0%)"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader","360 B (0%)","9 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotatedClass","360 B (0%)","5 (0%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$1","360 B (0%)","9 (0%)"
"org.springframework.context.event.EventListenerMethodProcessor","360 B (0%)","9 (0%)"
"org.yaml.snakeyaml.nodes.Tag","360 B (0%)","15 (0%)"
"sun.security.ssl.ProtocolVersion","360 B (0%)","9 (0%)"
"org.springframework.jndi.support.SimpleJndiBeanFactory","360 B (0%)","9 (0%)"
"org.springframework.expression.spel.ast.BooleanLiteral","360 B (0%)","9 (0%)"
"java.util.concurrent.ForkJoinPool","360 B (0%)","1 (0%)"
"sun.security.util.DisabledAlgorithmConstraints$DisabledConstraint","360 B (0%)","15 (0%)"
"org.hibernate.validator.internal.metadata.aggregated.BeanMetaDataImpl","360 B (0%)","5 (0%)"
"org.springframework.context.expression.StandardBeanExpressionResolver","360 B (0%)","9 (0%)"
"org.springframework.context.support.DefaultLifecycleProcessor","360 B (0%)","9 (0%)"
"sun.util.logging.internal.LoggingProviderImpl$JULWrapper","352 B (0%)","22 (0%)"
"jdk.proxy2.$Proxy190","352 B (0%)","22 (0%)"
"javax.management.MBeanNotificationInfo","352 B (0%)","11 (0%)"
"org.springframework.format.support.DefaultFormattingConversionService","352 B (0%)","11 (0%)"
"io.undertow.security.impl.DigestAuthorizationToken","352 B (0%)","11 (0%)"
"com.groww.credit.vendor.commons.enums.VendorRequestType","352 B (0%)","11 (0%)"
"sun.util.resources.Bundles$CacheKey","352 B (0%)","11 (0%)"
"java.net.InetAddress[]","344 B (0%)","12 (0%)"
"sun.invoke.util.Wrapper[]","336 B (0%)","5 (0%)"
"java.net.SocketPermission","336 B (0%)","6 (0%)"
"org.springframework.aop.aspectj.AspectJExpressionPointcut","336 B (0%)","6 (0%)"
"com.fasterxml.jackson.databind.type.ResolvedRecursiveType","336 B (0%)","6 (0%)"
"org.redisson.client.RedisClientConfig","336 B (0%)","2 (0%)"
"jdk.internal.misc.InternalLock","336 B (0%)","21 (0%)"
"io.netty.resolver.dns.DnsNameResolverBuilder","336 B (0%)","3 (0%)"
"org.springframework.integration.IntegrationPatternType[]","336 B (0%)","6 (0%)"
"org.redisson.client.protocol.decoder.ListFirstObjectDecoder","336 B (0%)","14 (0%)"
"org.aspectj.weaver.World$TypeMap","336 B (0%)","6 (0%)"
"java.util.regex.Pattern$Begin","336 B (0%)","21 (0%)"
"jdk.proxy2.$Proxy38","336 B (0%)","21 (0%)"
"jdk.proxy2.$Proxy36","336 B (0%)","21 (0%)"
"org.springframework.web.servlet.resource.DefaultResourceResolverChain","336 B (0%)","14 (0%)"
"com.fasterxml.jackson.databind.type.MapType","336 B (0%)","6 (0%)"
"org.springframework.util.LinkedMultiValueMap","336 B (0%)","21 (0%)"
"java.nio.DirectLongBufferU","336 B (0%)","6 (0%)"
"org.springframework.core.convert.support.NumberToNumberConverterFactory","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.URIEditor","320 B (0%)","10 (0%)"
"sun.rmi.transport.StreamRemoteCall","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.ZoneIdToTimeZoneConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.InputStreamEditor","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.StringToUUIDConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.EnumToIntegerConverter","320 B (0%)","20 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.StringToCollectionConverter","320 B (0%)","20 (0%)"
"sun.security.ssl.SSLSessionContextImpl","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.CollectionToObjectConverter","320 B (0%)","20 (0%)"
"jdk.proxy2.$Proxy164","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.ClassEditor","320 B (0%)","10 (0%)"
"sun.management.MemoryPoolImpl$PoolSensor","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.StringToArrayConverter","320 B (0%)","20 (0%)"
"org.springframework.cloud.openfeign.support.SpringMvcContract","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.NumberToCharacterConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.CollectionToCollectionConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToLocaleConverter","320 B (0%)","20 (0%)"
"jdk.internal.loader.NativeLibraries$NativeLibraryImpl","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.FallbackObjectToStringConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.ArrayToCollectionConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.InputSourceEditor","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.ObjectToCollectionConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToPropertiesConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.URLEditor","320 B (0%)","10 (0%)"
"org.springframework.cloud.openfeign.FeignClientsConfiguration","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.ArrayToObjectConverter","320 B (0%)","20 (0%)"
"org.hibernate.validator.internal.properties.javabean.JavaBeanParameter","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.StringToNumberConverterFactory","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.ZonedDateTimeToCalendarConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.PathEditor","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.StringToPatternConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToCharacterConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.ClassArrayEditor","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.CharacterToNumberFactory","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.FileEditor","320 B (0%)","10 (0%)"
"sun.management.MemoryPoolImpl$CollectionSensor","320 B (0%)","8 (0%)"
"com.fasterxml.jackson.databind.MapperFeature[]","320 B (0%)","2 (0%)"
"org.springframework.core.convert.support.ByteBufferConverter","320 B (0%)","20 (0%)"
"org.springframework.beans.propertyeditors.ReaderEditor","320 B (0%)","10 (0%)"
"org.springframework.core.convert.support.StringToCharsetConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToRegexConverter","320 B (0%)","20 (0%)"
"com.fasterxml.jackson.core.io.SerializedString","320 B (0%)","10 (0%)"
"feign.ResponseHandler","320 B (0%)","8 (0%)"
"jdk.internal.org.objectweb.asm.Type","320 B (0%)","10 (0%)"
"java.io.FilePermission","320 B (0%)","8 (0%)"
"org.springframework.core.convert.support.ObjectToArrayConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StreamConverter","320 B (0%)","20 (0%)"
"jdk.proxy2.$Proxy33","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToTimeZoneConverter","320 B (0%)","20 (0%)"
"org.springframework.boot.autoconfigure.kafka.KafkaProperties$Ssl","320 B (0%)","5 (0%)"
"org.springframework.core.convert.support.StringToCurrencyConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.PropertiesToStringConverter","320 B (0%)","20 (0%)"
"java.util.regex.Pattern$$Lambda.0x800000032","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.ArrayToStringConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToBooleanConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.StringToEnumConverterFactory","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.EnumToStringConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.MapToMapConverter","320 B (0%)","20 (0%)"
"org.springframework.core.convert.support.ObjectToOptionalConverter","320 B (0%)","20 (0%)"
"org.apache.kafka.common.message.ApiMessageType[]","320 B (0%)","1 (0%)"
"org.springframework.core.convert.support.IntegerToEnumConverterFactory","320 B (0%)","20 (0%)"
"org.aspectj.apache.bcel.generic.ObjectType","312 B (0%)","13 (0%)"
"org.springframework.web.util.UrlPathHelper","312 B (0%)","13 (0%)"
"org.aspectj.weaver.Shadow$Kind","312 B (0%)","13 (0%)"
"org.redisson.client.protocol.decoder.ObjectMapReplayDecoder","312 B (0%)","13 (0%)"
"sun.security.x509.Extension","312 B (0%)","13 (0%)"
"com.fasterxml.jackson.databind.type.LogicalType","312 B (0%)","13 (0%)"
"java.util.stream.ReferencePipeline$5$1","312 B (0%)","13 (0%)"
"jdk.proxy2.$Proxy119","304 B (0%)","19 (0%)"
"jdk.proxy2.$Proxy41","304 B (0%)","19 (0%)"
"io.swagger.v3.oas.models.media.ObjectSchema","296 B (0%)","1 (0%)"
"io.swagger.v3.oas.models.media.ByteArraySchema","296 B (0%)","1 (0%)"
"org.springframework.web.bind.annotation.RequestMethod[]","296 B (0%)","11 (0%)"
"org.springframework.context.event.EventExpressionEvaluator","288 B (0%)","9 (0%)"
"java.lang.management.MemoryUsage[]","288 B (0%)","6 (0%)"
"org.springframework.context.annotation.AnnotatedBeanDefinitionReader","288 B (0%)","9 (0%)"
"jdk.proxy2.$Proxy185","288 B (0%)","18 (0%)"
"com.fasterxml.classmate.types.ResolvedPrimitiveType","288 B (0%)","9 (0%)"
"org.springframework.context.annotation.ConfigurationClassParser$ImportStack","288 B (0%)","9 (0%)"
"java.rmi.server.ObjID","288 B (0%)","12 (0%)"
"org.springframework.beans.factory.support.AbstractBeanFactory$BeanPostProcessorCache","288 B (0%)","9 (0%)"
"java.util.Vector","288 B (0%)","9 (0%)"
"sun.util.calendar.Gregorian$Date","288 B (0%)","3 (0%)"
"org.springframework.http.converter.json.MappingJackson2HttpMessageConverter","288 B (0%)","6 (0%)"
"java.lang.annotation.ElementType","288 B (0%)","12 (0%)"
"org.springframework.boot.actuate.autoconfigure.endpoint.expose.IncludeExcludeEndpointFilter$EndpointPatterns","288 B (0%)","12 (0%)"
"com.sun.management.GarbageCollectionNotificationInfo","288 B (0%)","9 (0%)"
"org.springframework.context.support.PropertySourcesPlaceholderConfigurer$1","288 B (0%)","9 (0%)"
"java.time.Month","288 B (0%)","12 (0%)"
"java.io.ObjectInputStream$HandleTable","288 B (0%)","9 (0%)"
"org.springframework.core.convert.support.ObjectToObjectConverter","288 B (0%)","18 (0%)"
"org.springframework.context.annotation.ConditionEvaluator","288 B (0%)","18 (0%)"
"java.net.StandardSocketOptions$StdSocketOption","288 B (0%)","12 (0%)"
"java.io.ObjectInputStream$FieldValues","288 B (0%)","9 (0%)"
"com.esotericsoftware.kryo.util.Pool$1","288 B (0%)","6 (0%)"
"sun.reflect.annotation.TypeAnnotation$TypeAnnotationTarget","288 B (0%)","12 (0%)"
"org.springframework.beans.factory.support.BeanDefinitionDefaults","288 B (0%)","9 (0%)"
"org.springframework.core.env.MutablePropertySources","288 B (0%)","18 (0%)"
"org.springframework.core.convert.support.IdToEntityConverter","288 B (0%)","18 (0%)"
"org.springframework.context.support.DelegatingMessageSource","288 B (0%)","9 (0%)"
"java.util.logging.Level","288 B (0%)","9 (0%)"
"feign.Request$HttpMethod","288 B (0%)","9 (0%)"
"java.lang.invoke.LambdaForm$Kind[]","288 B (0%)","1 (0%)"
"java.lang.module.ModuleDescriptor$Opens","288 B (0%)","12 (0%)"
"redis.clients.jedis.CommandObject","288 B (0%)","12 (0%)"
"org.springframework.expression.spel.support.ReflectiveMethodExecutor","288 B (0%)","9 (0%)"
"java.io.ObjectInputStream$PeekInputStream","288 B (0%)","9 (0%)"
"org.springframework.expression.spel.ast.MethodReference$CachedMethodExecutor","288 B (0%)","9 (0%)"
"org.redisson.client.protocol.convertor.LongReplayConvertor","288 B (0%)","18 (0%)"
"java.util.logging.Level$KnownLevel","288 B (0%)","9 (0%)"
"java.util.stream.StreamOpFlag","288 B (0%)","6 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport","288 B (0%)","9 (0%)"
"sun.util.logging.PlatformLogger$Level","288 B (0%)","9 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodInvokeTypeProvider","280 B (0%)","7 (0%)"
"java.util.regex.Pattern$Loop","280 B (0%)","7 (0%)"
"org.aspectj.weaver.patterns.ExactAnnotationTypePattern","280 B (0%)","7 (0%)"
"sun.rmi.transport.tcp.TCPEndpoint","280 B (0%)","7 (0%)"
"sun.nio.cs.StreamEncoder","280 B (0%)","5 (0%)"
"java.lang.invoke.VarHandleInts$FieldInstanceReadWrite","280 B (0%)","7 (0%)"
"org.springframework.expression.spel.ast.TypeReference","280 B (0%)","7 (0%)"
"org.springframework.expression.spel.ast.QualifiedIdentifier","280 B (0%)","7 (0%)"
"com.fasterxml.jackson.databind.DeserializationFeature[]","272 B (0%)","2 (0%)"
"jdk.proxy2.$Proxy93","272 B (0%)","17 (0%)"
"java.io.ObjectStreamClass$ExceptionInfo","264 B (0%)","11 (0%)"
"sun.security.x509.AccessDescription","264 B (0%)","11 (0%)"
"org.springframework.core.io.support.PathMatchingResourcePatternResolver","264 B (0%)","11 (0%)"
"java.time.ZoneOffset","264 B (0%)","11 (0%)"
"java.net.InterfaceAddress[]","264 B (0%)","10 (0%)"
"com.fasterxml.jackson.annotation.JsonFormat$Feature","264 B (0%)","11 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic","264 B (0%)","11 (0%)"
"com.fasterxml.jackson.annotation.JsonFormat$Shape","264 B (0%)","11 (0%)"
"org.yaml.snakeyaml.events.Event$ID","264 B (0%)","11 (0%)"
"sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair","256 B (0%)","8 (0%)"
"org.springframework.cloud.openfeign.support.PageableSpringQueryMapEncoder","256 B (0%)","8 (0%)"
"feign.form.spring.SpringSingleMultipartFileWriter","256 B (0%)","16 (0%)"
"org.springframework.cloud.openfeign.support.PageableSpringEncoder","256 B (0%)","8 (0%)"
"io.netty.channel.AbstractChannelHandlerContext$WriteTask","256 B (0%)","8 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLL","256 B (0%)","4 (0%)"
"io.netty.buffer.PoolArena[]","256 B (0%)","2 (0%)"
"java.math.RoundingMode","256 B (0%)","8 (0%)"
"org.springframework.beans.propertyeditors.CustomCollectionEditor","256 B (0%)","8 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping","256 B (0%)","8 (0%)"
"org.springframework.util.function.SingletonSupplier","256 B (0%)","8 (0%)"
"org.aspectj.weaver.patterns.TypePatternList","256 B (0%)","8 (0%)"
"java.util.HashMap$ValueIterator","256 B (0%)","8 (0%)"
"org.redisson.client.protocol.decoder.ObjectSetReplayDecoder","256 B (0%)","16 (0%)"
"sun.rmi.transport.Transport$1","256 B (0%)","8 (0%)"
"org.springframework.core.env.StandardEnvironment","256 B (0%)","8 (0%)"
"feign.form.multipart.SingleFileWriter","256 B (0%)","16 (0%)"
"org.xnio.SequenceOption","256 B (0%)","8 (0%)"
"org.springframework.cloud.openfeign.support.SpringEncoder","256 B (0%)","8 (0%)"
"com.groww.credit.vendor.idfc.infrastructure.configs.IdfcConfig$$SpringCGLIB$$0","248 B (0%)","1 (0%)"
"org.checkerframework.framework.qual.LiteralKind","240 B (0%)","10 (0%)"
"java.util.Collections$SynchronizedRandomAccessList","240 B (0%)","10 (0%)"
"jdk.proxy2.$Proxy199","240 B (0%)","15 (0%)"
"sun.security.x509.CertificatePolicyId","240 B (0%)","15 (0%)"
"org.xnio.OptionMap$Builder$OVPair","240 B (0%)","10 (0%)"
"java.util.ResourceBundle$BundleReference","240 B (0%)","6 (0%)"
"com.fasterxml.jackson.databind.SerializationFeature[]","240 B (0%)","2 (0%)"
"java.util.concurrent.ScheduledThreadPoolExecutor","240 B (0%)","3 (0%)"
"org.springframework.data.util.Lazy","240 B (0%)","10 (0%)"
"com.fasterxml.jackson.databind.cfg.CoercionInputShape","240 B (0%)","10 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction[]","240 B (0%)","5 (0%)"
"java.net.URLPermission","240 B (0%)","5 (0%)"
"org.springframework.boot.autoconfigure.cache.CacheType","240 B (0%)","10 (0%)"
"org.springframework.context.event.AbstractApplicationEventMulticaster$DefaultListenerRetriever","240 B (0%)","10 (0%)"
"org.springframework.context.support.ApplicationListenerDetector","240 B (0%)","10 (0%)"
"sun.rmi.transport.Transport$$Lambda.0x0000007001c150e8","240 B (0%)","15 (0%)"
"java.nio.file.StandardOpenOption","240 B (0%)","10 (0%)"
"org.apache.kafka.common.telemetry.ClientTelemetryState[]","240 B (0%)","7 (0%)"
"org.springframework.core.env.MapPropertySource","240 B (0%)","10 (0%)"
"java.net.Socket","240 B (0%)","6 (0%)"
"com.fasterxml.classmate.util.ClassKey","240 B (0%)","10 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$SoftValueReference","240 B (0%)","5 (0%)"
"java.lang.ThreadGroup","240 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$BasicType","240 B (0%)","6 (0%)"
"java.security.CryptoPrimitive","240 B (0%)","10 (0%)"
"org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata","240 B (0%)","6 (0%)"
"org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredMethodElement","240 B (0%)","6 (0%)"
"io.netty.util.HashedWheelTimer","240 B (0%)","3 (0%)"
"jdk.proxy1.$Proxy223","240 B (0%)","15 (0%)"
"org.springframework.kafka.listener.DeadLetterPublishingRecoverer$HeaderNames$HeadersToAdd","240 B (0%)","10 (0%)"
"org.redisson.client.protocol.decoder.StreamObjectMapReplayDecoder","240 B (0%)","10 (0%)"
"sun.rmi.transport.ObjectEndpoint","240 B (0%)","10 (0%)"
"org.springframework.core.ReactiveAdapterRegistry$ReactorAdapter","240 B (0%)","10 (0%)"
"com.sun.jmx.remote.util.ClassLogger","240 B (0%)","10 (0%)"
"sun.nio.cs.UTF_8$Encoder","240 B (0%)","5 (0%)"
"org.springframework.context.event.AbstractApplicationEventMulticaster$ListenerCacheKey","240 B (0%)","10 (0%)"
"org.apache.commons.pool2.PooledObjectState","240 B (0%)","10 (0%)"
"org.springframework.context.event.AbstractApplicationEventMulticaster$CachedListenerRetriever","240 B (0%)","10 (0%)"
"java.nio.charset.CoderResult","240 B (0%)","10 (0%)"
"com.fasterxml.jackson.databind.introspect.BasicBeanDescription","240 B (0%)","5 (0%)"
"sun.invoke.util.ValueConversions$WrapperCache","240 B (0%)","15 (0%)"
"org.springframework.core.ReactiveTypeDescriptor","240 B (0%)","10 (0%)"
"org.aspectj.weaver.ResolvedType[]","232 B (0%)","10 (0%)"
"com.groww.credit.vendor.gcs.infrastructure.configs.GcsConfig$$SpringCGLIB$$0","232 B (0%)","1 (0%)"
"org.springframework.boot.logging.LogLevel","224 B (0%)","7 (0%)"
"org.springframework.format.datetime.standard.MonthDayFormatter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.MonthFormatter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalTimeConverter","224 B (0%)","14 (0%)"
"com.fasterxml.jackson.annotation.JsonTypeInfo$Id","224 B (0%)","7 (0%)"
"jdk.proxy2.$Proxy181","224 B (0%)","14 (0%)"
"jdk.proxy2.$Proxy182","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.InstantFormatter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$InstantToLongConverter","224 B (0%)","14 (0%)"
"java.util.GregorianCalendar","224 B (0%)","2 (0%)"
"org.springframework.format.datetime.DateTimeFormatAnnotationFormatterFactory","224 B (0%)","14 (0%)"
"org.springframework.aop.framework.AdvisedSupport","224 B (0%)","4 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$LongToInstantConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.YearFormatter","224 B (0%)","14 (0%)"
"org.springframework.kafka.config.ConcurrentKafkaListenerContainerFactory","224 B (0%)","2 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalDateConverter","224 B (0%)","14 (0%)"
"javax.management.openmbean.OpenMBeanOperationInfoSupport","224 B (0%)","4 (0%)"
"org.springframework.format.datetime.standard.Jsr310DateTimeFormatAnnotationFormatterFactory","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToInstantConverter","224 B (0%)","14 (0%)"
"sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint","224 B (0%)","7 (0%)"
"sun.security.ssl.SSLContextImpl$TLSContext","224 B (0%)","4 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$LocalDateTimeToLocalTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.YearMonthFormatter","224 B (0%)","14 (0%)"
"java.lang.System$Logger$Level","224 B (0%)","7 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$LocalDateTimeToLocalDateConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalDateConverter","224 B (0%)","14 (0%)"
"jdk.xml.internal.JdkProperty$State","224 B (0%)","7 (0%)"
"org.springframework.format.datetime.standard.PeriodFormatter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToZonedDateTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.expression.spel.ast.CompoundExpression","224 B (0%)","7 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToInstantConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToLocalDateTimeConverter","224 B (0%)","14 (0%)"
"org.redisson.client.protocol.decoder.CodecDecoder","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToOffsetDateTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToOffsetDateTimeConverter","224 B (0%)","14 (0%)"
"io.opentelemetry.api.internal.InternalAttributeKeyImpl","224 B (0%)","7 (0%)"
"jdk.proxy2.$Proxy65","224 B (0%)","14 (0%)"
"jdk.proxy2.$Proxy49","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$OffsetDateTimeToInstantConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DurationFormatter","224 B (0%)","14 (0%)"
"org.hibernate.validator.internal.metadata.location.ConstraintLocation$ConstraintLocationKind","224 B (0%)","7 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$ZonedDateTimeToLocalDateTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToZonedDateTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.datetime.standard.DateTimeConverters$CalendarToLocalDateTimeConverter","224 B (0%)","14 (0%)"
"org.springframework.format.number.NumberFormatAnnotationFormatterFactory","224 B (0%)","14 (0%)"
"jdk.xml.internal.JdkXmlFeatures$XmlFeature","224 B (0%)","4 (0%)"
"io.micrometer.prometheus.PrometheusCounter","224 B (0%)","7 (0%)"
"org.aspectj.weaver.patterns.AnnotationPointcut","224 B (0%)","4 (0%)"
"jdk.internal.loader.URLClassPath$FileLoader","224 B (0%)","7 (0%)"
"org.redisson.client.protocol.decoder.StreamIdDecoder","224 B (0%)","14 (0%)"
